iter	Passed	Remaining
0	139	139706
1	142	71235
2	145	48373
3	151	37684
4	154	30703
5	156	26000
6	158	22420
7	159	19734
8	160	17628
9	161	15970
10	163	14656
11	164	13566
12	166	12623
13	167	11776
14	168	11047
15	169	10402
16	170	9853
17	171	9346
18	172	8892
19	173	8485
20	174	8117
21	175	7782
22	177	7554
23	179	7289
24	180	7027
25	181	6784
26	182	6560
27	182	6350
28	183	6156
29	184	5974
30	185	5808
31	186	5647
32	188	5517
33	189	5384
34	190	5260
35	192	5147
36	193	5030
37	194	4920
38	195	4813
39	196	4717
40	197	4626
41	198	4535
42	199	4447
43	200	4363
44	201	4282
45	202	4204
46	203	4133
47	204	4062
48	206	3998
49	207	3934
50	208	3870
51	208	3808
52	209	3751
53	210	3695
54	212	3648
55	213	3596
56	214	3545
57	215	3495
58	216	3449
59	217	3405
60	219	3380
61	220	3343
62	222	3306
63	223	3265
64	224	3225
65	225	3186
66	226	3148
67	227	3111
68	227	3076
69	228	3041
70	230	3016
71	231	2983
72	233	2969
73	234	2939
74	235	2908
75	236	2878
76	237	2848
77	238	2821
78	239	2797
79	240	2770
80	241	2743
81	242	2717
82	243	2688
83	244	2663
84	245	2639
85	246	2615
86	249	2616
87	250	2594
88	251	2572
89	252	2550
90	253	2529
91	254	2507
92	255	2487
93	256	2469
94	257	2453
95	258	2433
96	259	2414
97	260	2395
98	262	2391
99	264	2376
100	265	2358
101	266	2344
102	267	2327
103	268	2310
104	269	2293
105	269	2277
106	270	2261
107	271	2245
108	272	2230
109	273	2216
110	275	2204
111	277	2200
112	278	2188
113	279	2175
114	280	2161
115	281	2147
116	282	2132
117	283	2122
118	284	2109
119	286	2098
120	287	2085
121	287	2071
122	288	2058
123	289	2046
124	293	2055
125	294	2043
126	295	2030
127	296	2018
128	297	2006
129	298	1995
130	299	1983
131	300	1975
132	301	1966
133	302	1957
134	304	1948
135	305	1938
136	308	1943
137	311	1948
138	313	1942
139	314	1932
140	315	1922
141	316	1910
142	317	1901
143	318	1891
144	319	1883
145	321	1883
146	323	1874
147	323	1864
148	324	1855
149	325	1846
150	327	1838
151	328	1831
152	329	1822
153	330	1813
154	331	1804
155	332	1796
156	332	1787
157	334	1780
158	336	1778
159	337	1771
160	338	1761
161	339	1756
162	340	1750
163	342	1744
164	343	1738
165	344	1730
166	345	1723
167	346	1715
168	347	1707
169	348	1700
170	350	1700
171	353	1699
172	354	1693
173	355	1686
174	356	1679
175	357	1672
176	358	1665
177	359	1658
178	360	1651
179	360	1644
180	362	1638
181	363	1631
182	364	1628
183	366	1623
184	367	1618
185	368	1611
186	369	1606
187	370	1601
188	371	1595
189	373	1590
190	374	1585
191	375	1580
192	376	1574
193	377	1568
194	378	1562
195	381	1563
196	382	1557
197	383	1552
198	384	1546
199	385	1540
200	386	1534
201	387	1528
202	388	1523
203	388	1517
204	389	1512
205	390	1506
206	391	1500
207	392	1495
208	394	1491
209	395	1487
210	396	1482
211	397	1479
212	399	1474
213	400	1469
214	400	1463
215	401	1458
216	402	1453
217	403	1448
218	404	1443
219	405	1438
220	406	1433
221	407	1427
222	410	1428
223	411	1424
224	411	1419
225	412	1414
226	413	1409
227	414	1404
228	415	1400
229	416	1395
230	417	1391
231	418	1386
232	419	1382
233	420	1377
234	421	1373
235	423	1370
236	424	1366
237	425	1362
238	426	1358
239	427	1354
240	428	1349
241	429	1345
242	430	1341
243	431	1337
244	432	1333
245	433	1329
246	434	1324
247	435	1320
248	436	1316
249	438	1316
250	440	1313
251	441	1310
252	442	1306
253	443	1303
254	445	1300
255	446	1297
256	447	1294
257	449	1292
258	450	1289
259	456	1299
260	461	1306
261	462	1302
262	463	1299
263	467	1302
264	468	1298
265	469	1295
266	470	1292
267	471	1288
268	472	1285
269	473	1281
270	474	1277
271	475	1273
272	476	1269
273	477	1265
274	478	1262
275	480	1259
276	481	1256
277	482	1253
278	483	1250
279	484	1246
280	485	1243
281	486	1239
282	487	1235
283	488	1231
284	489	1228
285	490	1224
286	491	1221
287	492	1217
288	493	1214
289	496	1216
290	497	1213
291	498	1209
292	499	1206
293	500	1202
294	502	1199
295	502	1196
296	503	1192
297	504	1189
298	505	1185
299	506	1182
300	507	1178
301	508	1176
302	510	1174
303	511	1171
304	512	1168
305	513	1165
